occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Lagerstroemia indica","Lagerstroemia indica L.","3188725","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia indica","Lagerstroemia indica","L.","3188725",
,"Quercus virginiana","Quercus virginiana Mill.","2878092","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus virginiana","Quercus virginiana","Mill.","2878092",
,"Sabal palmetto","Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.","4925538","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Sabal","Sabal palmetto","Sabal palmetto","(Walter) Lodd. ex Schult. & Schult.f.","4925538",
,"Washingtonia robusta","Washingtonia robusta H.Wendl.","5294595","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Washingtonia","Washingtonia robusta","Washingtonia robusta","H.Wendl.","5294595",
,"Pinus canariensis","Pinus canariensis C.Sm.","5285243","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus canariensis","Pinus canariensis","C.Sm.","5285243",
,"Platanus acerifolia","Platanus Ã—acerifolia (Aiton) Willd.","3152815","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","Platanus hispanica","Platanus acerifolia","(Aiton) Willd.","3152815","7400250"
,"Liquidambar styraciflua","Liquidambar styraciflua L.","3152824","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Altingiaceae","Liquidambar","Liquidambar styraciflua","Liquidambar styraciflua","L.","3152824",
,"Ulmus crassifolia","Ulmus crassifolia Nutt.","5361871","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus crassifolia","Ulmus crassifolia","Nutt.","5361871",
,"Quercus laurifolia","Quercus laurifolia Michx.","2877708","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus laurifolia","Quercus laurifolia","Michx.","2877708",
,"Pyrus calleryana","Pyrus calleryana Decne.","5363119","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus calleryana","Pyrus calleryana","Decne.","5363119",
,"Magnolia grandiflora","Magnolia grandiflora L.","9605163","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia","Magnolia grandiflora","Magnolia grandiflora","L.","9605163",
,"Syagrus romanzoffianum","Syagrus romanzoffiana (Cham.) Glassman","5293897","FUZZY","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Syagrus","Syagrus romanzoffiana","Syagrus romanzoffiana","(Cham.) Glassman","5293897",
,"Cupaniopsis anacardioides","Cupaniopsis anacardioides (A.Rich.) Radlk.","3189958","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Cupaniopsis","Cupaniopsis anacardioides","Cupaniopsis anacardioides","(A.Rich.) Radlk.","3189958",
,"Taxodium distichum","Taxodium distichum (L.) Rich.","2684191","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Taxodium","Taxodium distichum","Taxodium distichum","(L.) Rich.","2684191",
,"Pinus elliottii","Pinus elliottii Engelm.","5285777","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus elliottii","Pinus elliottii","Engelm.","5285777",
